x,y,sigma,sigma_vee,psi
0,-1,0.002021513305626796,0.002021513305626796,-0.47448079498686785
0,-0.5,0.002006885490705997,0.002006885490705997,-0.49999170420874117
0,0,0.001994445742721528,0.001994445742721528,-0.52168662469365512
0,0.5,0.0019858079417979999,0.0019858079417979999,-0.53675094950428826
0,1,0.0019811401932850843,0.0019784396356807613,-0.54960127537275227
0,1.5,0.0019833050347996817,0.0019710713295635228,-0.56245160124121629
0,2,0.0019944666900142132,0.0019637030234462842,-0.57530192710968031
0,2.5,0.0019563347173290457,0.0019563347173290457,-0.58815225297814433
0,3,0.0019518150287379799,0.0019505178728989017,-0.59829682966431541
0,3.5,0.0019516284152484079,0.0019447010284687578,-0.60844140635048638
0,4,0.0019388841840386139,0.0019388841840386139,-0.61858598303665746
0,4.5,0.0019466167208225772,0.0019334490479085706,-0.6280648604474528
0,5,0.0019731744727277227,0.0019280139117785278,-0.63754373785824747
0,5.5,0.0019247587862041252,0.0019225787756484846,-0.64702261526904292
0,6,0.0019745631183541012,0.0019171436395184413,-0.65650149267983837
0,6.5,0.001911708503388398,0.001911708503388398,-0.66598037009063382
0,7,0.0019178731367793479,0.0019086778614601574,-0.67126580961348536
0,7.5,0.001934412928338338,0.0019056472195319173,-0.67655124913633624
0,8,0.0019173952388186971,0.0019026165776036767,-0.6818366886591879
0,8.5,0.0018995859356754363,0.0018995859356754363,-0.6871221281820391
0,9,0.0018997812995201638,0.0018988612882149024,-0.6883859133532102
0,9.5,0.0018981366407543683,0.0018981366407543683,-0.68964969852438163
0,10,0.0019016617596910197,0.0018979203970631703,-0.69002682752183098
0,10.5,0.0019011744988415848,0.0018977041533719725,-0.69040395651927988
0,11,0.0018974879096807747,0.0018974879096807747,-0.6907810855167289
0,11.5,0.0019129561854322179,0.0018995360208994597,-0.6872091795513422
0,12,0.0019235224478221249,0.001901584132118145,-0.68363727358595516
0,12.5,0.0019089179663045149,0.0019036322433368304,-0.68006536762056768
0,13,0.0019141367213467736,0.0019056803545555155,-0.67649346165518098
0,13.5,0.0019079763176256164,0.0019077284657742007,-0.67292155568979395
0,14,0.0019548703706665943,0.0019097765769928862,-0.66934964972440658
0,14.5,0.0019118246882115714,0.0019118246882115714,-0.66577774375901944
0,15,0.0019567950485640862,0.0019225256510789167,-0.64711526451836932
0,15.5,0.0019404733094977016,0.0019332266139462616,-0.62845278527771975
0,16,0.0019919282613031289,0.0019439275768136067,-0.60979030603706996
0,16.5,0.0019728026844525858,0.0019546285396809518,-0.59112782679642017
0,17,0.0019802123787074628,0.0019653295025482973,-0.5724653475557695
0,17.5,0.0019903311387275695,0.0019760304654156424,-0.55380286831511971
0,18,0.0019941095300554418,0.0019867314282829875,-0.53514038907446992
0,18.5,0.0019974323911503326,0.0019974323911503326,-0.51647790983382003
0,19,0.0020134050854070194,0.0020119328149534555,-0.49118917072117352
0,19.5,0.0020264332387565785,0.0020264332387565785,-0.46590043160852701
0,20,0.0020460521607441268,0.0020443930801856813,-0.43457846815617185
0,20.5,0.0020706474939156663,0.0020623529216147844,-0.40325650470381597
0,21,0.0020803127630438876,0.0020803127630438876,-0.37193454125146008
0.5,-1,0.0020241762579554612,0.0020241762579554612,-0.46983660612567574
0.5,-0.5,0.0020174927474860883,0.002013225729006681,-0.48893432861234837
0.5,0,0.0020145732836559438,0.0020033660222044955,-0.50612965727535975
0.5,0.5,0.0020127432461519543,0.0019935063154023101,-0.52332498593837118
0.5,1,0.0019836466086001251,0.0019836466086001251,-0.54052031460138183
0.5,1.5,0.001999188979559093,0.0019785855984077441,-0.54934671637689436
0.5,2,0.0019843851277608886,0.0019735245882153635,-0.558173118152406
0.5,2.5,0.0019781540531568619,0.0019684635780229825,-0.56699951992791853
0.5,3,0.0019726028923380745,0.0019634025678306015,-0.57582592170343094
0.5,3.5,0.0019936239644174191,0.0019583415576382205,-0.58465232347894347
0.5,4,0.0019712233843745797,0.0019532805474458395,-0.593478725254456
0.5,4.5,0.0020163801704913991,0.0019482195372534587,-0.60230512702996808
0.5,5,0.0019548220787069508,0.0019431585270610779,-0.61113152880548016
0.5,5.5,0.0019659114011212637,0.0019380975168686971,-0.61995793058099224
0.5,6,0.0019369983336167003,0.0019331551853135553,-0.62857735681315963
0.5,6.5,0.0019593590558219529,0.0019301245433853149,-0.63386279633601084
0.5,7,0.0019405558032696392,0.0019270939014570743,-0.63914823585886238
