iteration=85 active=73 norm2=0.0021124449537560431 gap=3.5769079579469915e-05
iteration=86 active=74 norm2=0.0021123844457643058 gap=3.2893169199764861e-05
iteration=87 active=75 norm2=0.0021123275877750515 gap=3.2847201759925952e-05
iteration=88 active=76 norm2=0.0021122696536639818 gap=3.1178664460492465e-05
iteration=89 active=77 norm2=0.0021122080262792257 gap=3.2006952072540385e-05
iteration=90 active=78 norm2=0.0021121497588578453 gap=3.235409367211093e-05
iteration=91 active=79 norm2=0.0021120920965730168 gap=3.0132637829552618e-05
iteration=92 active=80 norm2=0.0021120273201098629 gap=3.3402164967835917e-05
iteration=93 active=80 norm2=0.0021119756426417058 gap=2.9205241519909136e-05
iteration=94 active=80 norm2=0.0021119311797244008 gap=2.6378762544072669e-05
iteration=95 active=81 norm2=0.0021118883544266097 gap=2.4301392051215287e-05
iteration=96 active=82 norm2=0.0021118511087514138 gap=2.3929613006376787e-05
iteration=97 active=83 norm2=0.00211182253380856 gap=2.2575804951589697e-05
iteration=98 active=84 norm2=0.0021117885619684348 gap=2.3247949725664976e-05
iteration=99 active=85 norm2=0.0021117584204669647 gap=2.2894285817733496e-05
iteration=100 active=86 norm2=0.0021117238842265997 gap=2.2149079546409777e-05
