x,y,ell_A,ell_A_exact
1,5.5,0.0019885130213350608,39992477543/20111750395353
1,6,0.0019912699776372237,40047924760/20111750395353
1,6.5,0.0019940269339393871,13367790659/6703916798451
1,7,0.00199678389024155,40158819194/20111750395353
1,7.5,0.0019995408465437133,40214266411/20111750395353
1,8,0.0020022978028458763,13423237876/6703916798451
1,8.5,0.0020050547591480396,40325160845/20111750395353
1,9,0.0020078117154502025,40380608062/20111750395353
1,9.5,0.0020105686717523654,4492895031/2234638932817
1,10,0.0020133256280545288,40491502496/20111750395353
1,10.5,0.0020160825843566917,40546949713/20111750395353
1,11,0.0020188395406588551,13534132310/6703916798451
1,11.5,0.002021596496961018,40657844147/20111750395353
1,12,0.0020243534532631813,40713291364/20111750395353
1,12.5,0.0020271104095653442,13589579527/6703916798451
1,13,0.0020298673658675076,40824185798/20111750395353
1,13.5,0.0020326243221696705,40879633015/20111750395353
1,14,0.0020353812784718339,4548342248/2234638932817
1,14.5,0.0020381382347739968,40990527449/20111750395353
1,15,0.0020408951910761597,41045974666/20111750395353
1,15.5,0.0020436521473783231,13700473961/6703916798451
1,16,0.002046409103680486,41156869100/20111750395353
1,16.5,0.0020491660599826493,41212316317/20111750395353
1,17,0.0020519230162848122,13755921178/6703916798451
1,17.5,0.0020546799725869756,41323210751/20111750395353
1,18,0.0020574369288891385,41378657968/20111750395353
1,18.5,0.0020601938851913019,4603789465/2234638932817
1,19,0.0020629508414934648,41489552402/20111750395353
1,19.5,0.0020657077977956281,41544999619/20111750395353
1,20,0.002068464754097791,13866815612/6703916798451
1,20.5,0.0020712217103999544,41655894053/20111750395353
1,21,0.0020739786667021173,41711341270/20111750395353
1.5,-1,0.0019840470187129939,39902658413/20111750395353
1.5,-0.5,0.0019868039750151568,39958105630/20111750395353
1.5,0,0.0019895609313173202,13337850949/6703916798451
1.5,0.5,0.0019923178876194831,40069000064/20111750395353
1.5,1,0.0019950748439216464,40124447281/20111750395353
1.5,1.5,0.0019978318002238094,4464432722/2234638932817
1.5,2,0.0020005887565259727,40235341715/20111750395353
1.5,2.5,0.0020033457128281356,40290788932/20111750395353
1.5,3,0.002006102669130299,13448745383/6703916798451
1.5,3.5,0.0020088596254324619,40401683366/20111750395353
1.5,4,0.0020116165817346252,40457130583/20111750395353
1.5,4.5,0.0020143735380367882,13504192600/6703916798451
1.5,5,0.0020171304943389511,40568025017/20111750395353
1.5,5.5,0.0020198874506411144,40623472234/20111750395353
1.5,6,0.0020226444069432773,4519879939/2234638932817
1.5,6.5,0.0020254013632454407,40734366668/20111750395353
1.5,7,0.0020281583195476036,40789813885/20111750395353
1.5,7.5,0.002030915275849767,13615087034/6703916798451
1.5,8,0.0020336722321519299,40900708319/20111750395353
1.5,8.5,0.0020364291884540932,40956155536/20111750395353
1.5,9,0.0020391861447562562,13670534251/6703916798451
1.5,9.5,0.0020419431010584195,41067049970/20111750395353
1.5,10,0.0020447000573605824,41122497187/20111750395353
1.5,10.5,0.0020474570136627458,4575327156/2234638932817
1.5,11,0.0020502139699649087,41233391621/20111750395353
1.5,11.5,0.0020529709262670716,41288838838/20111750395353
1.5,12,0.002055727882569235,13781428685/6703916798451
1.5,12.5,0.0020584848388713979,41399733272/20111750395353
1.5,13,0.0020612417951735612,41455180489/20111750395353
1.5,13.5,0.0020639987514757241,13836875902/6703916798451
1.5,14,0.0020667557077778875,41566074923/20111750395353
1.5,14.5,0.0020695126640800504,41621522140/20111750395353
1.5,15,0.0020722696203822138,4630774373/2234638932817
1.5,15.5,0.0020750265766843767,41732416574/20111750395353
1.5,16,0.00207778353298654,41787863791/20111750395353
1.5,16.5,0.002080540489288703,13947770336/6703916798451
1.5,17,0.0020832974455908659,41898758225/20111750395353
1.5,17.5,0.0020860544018930292,41954205442/20111750395353
1.5,18,0.0020888113581951921,14003217553/6703916798451
1.5,18.5,0.0020915683144973555,42065099876/20111750395353
1.5,19,0.0020943252707995184,42120547093/20111750395353
1.5,19.5,0.0020970822271016818,4686221590/2234638932817
1.5,20,0.0020998391834038447,42231441527/20111750395353
1.5,20.5,0.002102596139706008,42286888744/20111750395353
2,-1,0.0020154214480190475,40533653104/20111750395353
