i,j,l
1976,1605,2051
1822,1655,1780
1833,1957,1582
1938,2054,1977
2414,2472,2489
2040,1963,1757
1570,1985,1788
2130,2057,2093
2314,2085,2191
2191,2189,2314
1582,1957,2074
1860,1861,1780
2057,2017,2093
1957,1833,2074
1985,2266,2297
1973,1647,1645
1859,1939,1940
1605,1976,1816
1940,1942,1860
1985,2062,2266
2183,2040,2074
1888,2085,1724
1982,2062,1985
1886,1888,1719
1940,2057,2059
1886,1965,1888
1760,1757,1963
2040,2189,1965
1940,1860,1859
2097,2062,1982
1861,1860,1942
1862,1861,1942
1939,1977,2017
1982,1862,1942
2015,1857,1606
1939,2017,1940
2297,2375,2324
2189,1888,1967
1976,2290,2015
1940,2059,1942
2266,2097,2133
1977,2016,2017
2294,2266,2133
2054,2055,2016
2085,1888,2189
2199,2095,2130
2294,2133,2264
2344,2051,2161
2085,2189,2191
1788,1985,2103
1973,2051,1647
2291,2319,2292
2128,1857,2015
2097,2059,2133
1973,1851,2048
2016,2055,2017
2287,1973,2048
2291,2262,2261
2343,2369,2344
2092,2093,2055
2057,2095,2059
2017,2055,2093
2189,1967,1965
2133,2059,2095
2074,1833,1788
2343,2287,2369
1965,1963,2040
2062,2097,2266
2059,2097,1982
2054,2164,2092
2261,2346,2291
2093,2092,2164
2281,2189,2219
2219,2189,2040
1788,2103,2271
2093,2164,2130
2389,2189,2281
2095,2057,2130
2319,2291,2372
2074,2303,2305
2290,2345,2015
2438,2371,2344
2164,2261,2198
2232,2264,2133
2180,2303,2074
2294,2297,2266
2232,2200,2199
2040,2183,2305
2130,2164,2165
2200,2232,2095
2348,2440,2294
2287,2343,2161
2180,2074,1788
2369,2438,2344
2095,2199,2200
2287,2051,1973
2305,2219,2040
2271,2443,2427
2164,2198,2199
2314,2287,2048
2165,2164,2199
2095,2232,2133
2348,2294,2264
2314,2048,2085
2103,1985,2297
2291,2346,2372
2199,2198,2262
2051,2287,2161
2198,2261,2262
2348,2264,2292
2292,2199,2262
2443,2495,2481
2305,2281,2219
2103,2297,2271
2532,2555,2548
2373,2418,2440
2375,2294,2440
2319,2372,2347
2369,2314,2437
2371,2290,2344
2443,2297,2324
2345,2128,2015
2303,2180,2271
2439,2458,2440
2074,2305,2183
2161,2343,2344
2180,1788,2271
1976,2051,2290
2291,2292,2262
2494,2495,2443
2292,2319,2347
2427,2481,2532
2292,2347,2348
2232,2292,2264
2437,2438,2369
2347,2372,2373
2051,2344,2290
2389,2314,2189
2348,2347,2373
2440,2348,2373
2305,2427,2449
2467,2449,2427
2371,2345,2290
2443,2375,2441
2449,2389,2281
2443,2271,2297
2346,2418,2372
2505,2440,2458
2373,2372,2418
2305,2449,2281
2460,2443,2441
2391,2314,2389
2303,2427,2305
2314,2414,2437
2467,2389,2449
2314,2391,2414
2440,2418,2439
2441,2375,2440
2324,2375,2443
2303,2271,2427
2501,2516,2489
2472,2501,2489
2460,2492,2443
2474,2438,2437
2460,2441,2440
2443,2492,2494
2391,2389,2501
2495,2538,2546
2458,2517,2505
2427,2443,2481
2439,2475,2458
2532,2546,2551
2532,2467,2427
2492,2460,2440
2501,2467,2532
2490,2474,2437
2414,2391,2501
2458,2475,2517
2532,2548,2501
2492,2505,2528
2414,2489,2437
2555,2553,2548
2489,2490,2437
2414,2501,2472
2440,2505,2492
2528,2544,2529
2389,2467,2501
2492,2529,2494
2546,2481,2495
2505,2517,2528
2529,2544,2550
2527,2516,2501
2548,2549,2501
2529,2492,2528
2489,2516,2490
2517,2544,2528
2538,2495,2529
2495,2494,2529
2553,2549,2548
2538,2529,2550
2536,2527,2501
2546,2532,2481
2532,2551,2555
2544,2556,2550
2536,2501,2549
2556,2555,2551
2538,2550,2551
2546,2538,2551
2550,2556,2551
