x,y,sigma,sigma_vee,psi
-4,-1,0.0014208477467039828,0.0014208477467039828,-0.23167174141011856
-3.7999999999999998,-1.2,0.0014222088321039867,0.0014222088321039867,-0.2223142792850912
-3.7999999999999998,-1,0.0014203752672517602,0.0014203593761065877,-0.23502928926720984
-3.7999999999999998,-0.80000000000000004,0.0014185191730776126,0.0014185191730776126,-0.24768068509141336
-3.7999999999999998,-0.59999999999999998,0.0014167551439477446,0.0014167127081620304,-0.26010013138604093
-3.6000000000000001,-1.3999999999999999,0.0014236379075552655,0.0014236019989887654,-0.21273625695223758
-3.6000000000000001,-1.2,0.0014217243075330269,0.0014217243075330269,-0.22564538571044007
-3.6000000000000001,-1,0.0014198710055091928,0.0014198710055091928,-0.23838683712429964
-3.6000000000000001,-0.80000000000000004,0.00141805844871188,0.001418039678078543,-0.25097721321001665
-3.6000000000000001,-0.59999999999999998,0.0014162344796587838,0.0014162083506478933,-0.26356758929573371
-3.6000000000000001,-0.40000000000000002,0.0014143992186850562,0.0014143898127506372,-0.27607003733936897
-3.6000000000000001,-0.20000000000000001,0.0014125776696200778,0.0014125776696200778,-0.28852852136196477
-3.3999999999999999,-1.6000000000000001,0.0014249951658735441,0.0014249951658735441,-0.20315823461938398
-3.3999999999999999,-1.3999999999999999,0.0014231162168046015,0.0014231162168046015,-0.21607600946836475
-3.3999999999999999,-1.2,0.0014212629597017766,0.0014212562879813136,-0.22886302012846918
-3.3999999999999999,-1,0.001419433646520204,0.0014194049941749489,-0.24159066504722604
-3.3999999999999999,-0.80000000000000004,0.0014175901821394219,0.0014175643146003016,-0.25424533712292646
-3.3999999999999999,-0.59999999999999998,0.0014157650526428361,0.0014157302328224328,-0.26685464934577452
-3.3999999999999999,-0.40000000000000002,0.0014139058584276938,0.0014138975282181737,-0.27945449350005552
-3.3999999999999999,-0.20000000000000001,0.0014120828141581223,0.0014120725955542211,-0.29200090556473018
-3.3999999999999999,0,0.0014102647233104253,0.0014102647233104253,-0.30443002724082624
-3.3999999999999999,0.20000000000000001,0.0014084661066599553,0.0014084641399139549,-0.31680903809156019
-3.2000000000000002,-1.8,0.0014264332572796979,0.0014264332572796979,-0.19327135620207669
-3.2000000000000002,-1.6000000000000001,0.0014245658653582805,0.0014245413513542364,-0.20627820943962491
-3.2000000000000002,-1.3999999999999999,0.0014226650865066639,0.0014226577073757156,-0.21922826179195495
-3.2000000000000002,-1.2,0.0014208057223947666,0.0014207882684296002,-0.23208065454649829
-3.2000000000000002,-1,0.0014189513641916294,0.0014189389828407047,-0.2447944929701554
-3.2000000000000002,-0.80000000000000004,0.0014170917054692786,0.0014170917054692786,-0.25749452489870978
-3.2000000000000002,-0.59999999999999998,0.0014152751021691112,0.00141525762369141,-0.27010383712155628
-3.2000000000000002,-0.40000000000000002,0.001413446470162421,0.0014134235419135416,-0.28271314934440134
-3.2000000000000002,-0.20000000000000001,0.0014115986972292232,0.001411589460135673,-0.29532246156724784
-3.2000000000000002,0,0.0014097553783578047,0.0014097553783578047,-0.3079317737900929
-3.2000000000000002,0.20000000000000001,0.0014079629100774375,0.0014079537889744803,-0.32031770080044758
-3.2000000000000002,0.40000000000000002,0.0014061669750238504,0.001406152199591156,-0.33270362781080232
-3.2000000000000002,0.59999999999999998,0.0014043506102078319,0.0014043506102078319,-0.34508955482115555
-3,-2,0.0014278863116817455,0.0014278863116817455,-0.18328160718799988
-3,-1.8,0.0014260307254662535,0.0014259813238359218,-0.19637839862803741
-3,-1.6000000000000001,0.0014240882968156075,0.0014240875368349288,-0.20939818425986437
-3,-1.3999999999999999,0.0014222198003011276,0.0014222038928564079,-0.22234823661219588
